고객아이디,품번,구매평,구매일시,좋아요,장바구니
196,242,3,1632930949.0,1,0
186,302,3,1643397742.0,1,1
22,377,1,1630567116.0,0,0
244,51,2,1632286923.0,1,1
166,346,1,1638077596.0,1,0
298,474,4,1635862806.0,0,0
115,265,2,1632851488.0,1,0
253,465,5,1643308467.0,1,0
305,451,3,1638004817.0,1,0
6,86,3,1635283013.0,1,0
62,257,2,1631052434.0,0,1
286,1014,5,1631461125.0,1,0
200,222,5,1627722340.0,1,1
210,40,3,1642715994.0,1,0
224,29,3,1639784457.0,1,0
303,785,3,1631165318.0,0,1
122,387,5,1630950459.0,0,1
194,274,2,1631219794.0,1,1
291,1042,4,1626514944.0,0,1
234,1184,2,1643759237.0,1,1
119,392,4,1637856814.0,0,0
167,486,4,1644418452.0,0,1
299,144,4,1629561320.0,0,0
291,118,2,1626513878.0,1,1
308,1,4,1639416532.0,0,0
95,546,2,1630876566.0,0,1
38,95,5,1644110094.0,0,0
102,768,2,1635428450.0,1,1
63,277,4,1627427401.0,0,0
160,234,5,1628541185.0,0,1
50,246,3,1628732329.0,0,1
301,98,4,1633755827.0,1,1
225,193,4,1631219727.0,1,0
290,88,4,1632411963.0,1,0
97,194,3,1635918860.0,0,1
157,274,4,1638570835.0,1,1
181,1081,1,1630642623.0,1,1
278,603,5,1642975330.0,1,0
276,796,1,1626471932.0,0,1
7,32,4,1643030932.0,0,1
10,16,4,1629568877.0,0,1
284,304,4,1637009322.0,0,0
201,979,2,1635794233.0,0,0
276,564,3,1626471805.0,0,0
287,327,5,1627013916.0,0,0
246,201,5,1636601594.0,1,0
242,1137,5,1631421196.0,0,0
249,241,5,1631321194.0,0,1
99,4,5,1638199097.0,1,1
178,332,3,1634503437.0,1,1
251,100,4,1637951884.0,0,1
81,432,2,1628215131.0,0,1
260,322,4,1642298898.0,1,1
25,181,5,1637533415.0,0,0
59,196,5,1639885088.0,1,0
72,679,2,1631717164.0,1,1
87,384,4,1631557127.0,0,1
290,143,5,1632154293.0,0,0
42,423,5,1632787687.0,1,0
292,515,4,1632783977.0,1,1
115,20,3,1632851009.0,0,0
20,288,1,1631347584.0,0,1
201,219,4,1635792673.0,0,1
13,526,3,1633821053.0,0,1
246,919,4,1636600949.0,0,1
138,26,5,1630704232.0,0,0
167,232,1,1644418341.0,0,0
60,427,5,1635006620.0,0,1
57,304,5,1635378581.0,1,0
223,274,4,1643230094.0,0,1
189,512,4,1644957702.0,0,1
243,15,3,1631667440.0,1,0
92,1049,1,1641931826.0,0,0
246,416,3,1636603047.0,0,1
194,165,4,1631226723.0,1,0
241,690,2,1638929482.0,1,1
178,248,4,1634503954.0,1,1
254,1444,3,1638155558.0,1,1
293,5,3,1640586576.0,0,1
127,229,5,1636044867.0,1,1
225,237,5,1631219643.0,1,0
299,229,3,1629872429.0,1,1
225,480,5,1631220748.0,1,0
276,54,3,1626471025.0,1,1
291,144,5,1626515091.0,1,0
222,366,4,1629863381.0,0,1
267,518,5,1630651773.0,1,0
42,403,3,1632788684.0,0,1
11,111,4,1643583862.0,1,0
95,625,4,1640634412.0,0,0
8,338,4,1631041873.0,0,0
162,25,4,1629315573.0,1,1
87,1016,4,1631556194.0,0,0
279,154,5,1626976291.0,0,0
145,275,2,1637237505.0,0,0
119,1153,5,1626461198.0,1,0
62,498,4,1631053848.0,0,0
62,382,3,1631055537.0,0,0
28,209,4,1633641214.0,1,1
135,23,4,1631537765.0,1,0
32,294,3,1635389863.0,0,0
90,382,5,1643063835.0,0,0
286,208,4,1629211942.0,1,1
293,685,3,1640585170.0,1,1
216,144,4,1631914639.0,1,1
166,328,5,1638077722.0,0,0
250,496,4,1629770499.0,1,1
