상품등록일시,품번,상품명,상품이미지,레이블,카테고리,기장,스타일,성별,패턴,시즌,핏,색상,소재,넥라인,가격,상품정보
1625678966.0,1,COVERNAT 커버 뮬,1.png,신발,"['캔버스', '뮬']",[],['유니크'],여성,['배색'],['한여름'],[],"['그린', '네이비']",['면'],[],62000,"º디자인
부드러운 터치감이 좋은 오리지널 면 100% 국내산 캔버스 소재 사용
기본 코튼 플랫 베이지 슈레이스
앞코가 귀여운 느낌의 몰드창
히든 안창 포함 총 45mm의 높이감 있는 뮬 스타일
6.0mm 부드러우면서 압축률이 좋은 Tection를 적용하여 탁월한 높이의 플랫폼 적용
40mm 볼륨감 있는 이중구조의 볼드한 중창의 러버로 탄탄하면서 견고한 볼륨감 있는 마무리
아웃솔에 C로고를 패턴화하고 생고무러버를 적용하여 바닥 밀착감이 높임
인솔이 튀어나온 형태라 뒤꿈치가 걸리지 않는 편안함"
1625678966.0,2,COVERNAT 커버,2.png,신발,['캔버스'],[],['소녀스러운'],여성,['배색'],['한여름'],[],"['오렌지', '네이비', '버터']",['면'],[],18000,"590g의 탄탄하면서 강도가 좋은 오리지널 면 100% 국내산 캔버스 소재 사용
기본 코튼 플랫 베이지 슈레이스
앞코가 귀여운 느낌의 몰드창
넓은 발볼에게도 편한 와이드 아웃솔
발의 컨디션을 유지시켜주는 오솔라이트 인솔 + 탄력있는 천연 라텍스 아치 쿠션
6.0mm 부드러우면서 압축률이 좋은 Tection를 적용하여 탁월한 높이의 플랫폼 적용
40mm 볼륨감 있는 이중구조의 볼드한 중창의 러버로 탄탄하면서 견고한 볼륨감 있는 마무리
솔리드 형태의 컬러 적용으로 한층 더 세련된 스타일링
아웃솔에 C로고를 패턴화하고 생고무러버를 적용하여 바닥 밀착감이 높임
탁월한 4cm 힐 높이"
1625678966.0,3,COVERNAT 모노,3.png,신발,['캔버스'],[],['프레피'],여성,['솔리드'],['한여름'],[],"['베이지', '블랙', '민트']","['폴리', '폴리에스터']",[],76000,"폴리600 데니아의 옥스포드 소재 사용
기본 플랫코튼 솔리드 슈레이스, 세컨 코튼 플랫 베이지 슈레이스
넓은 발볼에게도 편한 와이드 아웃솔
발의 컨디션을 유지시켜주는 오솔라이트 인솔 + 탄력있는 천연 라텍스 아치 쿠션
6.0mm 부드러우면서 압축률이 좋은 Tection를 적용하여 탁월한 높이의 플랫폼 적용
40mm 볼륨감 있는 이중구조의 볼드한 중창의 러버로 탄탄하면서 견고한 볼륨감 있는 마무리
솔리드 형태의 컬러 적용으로 한층 더 세련된 스타일링
아웃솔에 C로고를 패턴화하고 생고무러버를 적용하여 바닥 밀착감이 높임
탁월한 4cm 힐 높이"
1625678966.0,4,CONVERSE 척테일러 올스타 블랙 옥스,4.png,신발,['캔버스'],[],['미니미니'],혼성,['솔리드'],['여름'],[],"['블랙', '레드']",['면'],[],52000,"오랫동안 사랑 받아 온 컨버스의 베스트 셀러로, 컨버스만의 오리지널리티를 살린 디자인이 돋보입니다. 발을 편안하게 감싸주는 캔버스 소재에 클래식 올스타 앵클 패치가 부착되어 있습니다 .클래식한 컬러로 출시되었습니다."
1625678966.0,5,VANS 올드스쿨,5.png,신발,['캔버스'],[],['걸리시'],여성,['솔리드'],['여름'],[],"['블랙', '라벤더', '네이비', '레드', '페퍼그린']","['가죽', '면', '스웨이드', '스웨이드(소가죽)', '소가죽', 'PU코팅 가죽', 'PU']",[],79000,"올드스쿨은 반스의 클래식한 스케이트 슈즈이며, 반스의 아이콘으로 자리 잡은 사이드 스트라이프를 처음으로 사용한 로우 탑 레이스업 타입의 신발입니다. 견고한 캔버스 업퍼와 신발을 오래 신어도 견딜 수 있도록 우수한 지속성을 더해줄 토캡이 다시 한번 강조되었고, 패드가 가미된 카라로 편안함과 활동성을 더하였습니다. 반스만의 특허 시그니처인 고무와플 아웃솔로 구성되어 있습니다."
1627269171.0,6,POSEGANCH 무스비,6.png,신발,['캔버스'],[],['센슈얼'],혼성,['솔리드'],['초겨울'],[],"['블랙', '그레이', '옐로우', '핑크', '올블랙']","['Canvas ', 'Rubber']",[],56000,
1625678966.0,7,J.DAUL 스퍼브N_SUPERB N ,7.png,신발,['캔버스'],[],['하늘하늘'],여성,['솔리드'],['겨울'],[],"['블랙', '그린', '아이보리', '화이트', '레드']",['CAMBRIDGE'],[],49000,스니커즈의 바이블 제이다울 스퍼브. 베이직한 라인으로 어디에나 매치하기 좋은 스니커즈입니다. 차분한 컬러배색과 앞코의 스프리트가죽으로 포인트를 강조하였스며 편안한 착화감은 물론 클래식한 디자인으로 꾸준히 사랑받고 있는 best of best 라인입니다.
1625678966.0,8,MLB 플레이볼 오리진 뮬 NY,8.png,신발,"['캔버스', '뮬']",[],['하늘하늘'],혼성,['배색'],['봄'],[],['블랙'],['면'],[],30000,
1625678966.0,9,VANS 컴피쿠시 원 - (체커보드) 블랙:마시멜로우,9.png,신발,"['캔버스', '슬립온']",[],['캐주얼'],혼성,['배색'],['초겨울'],[],"['블랙', '화이트']","['가죽', '면', '인조가죽', '고무', 'PU인조가죽', '천연고무', '합성고무', 'PU', '합성']",[],9000,"컴피쿠시 원에 접목된 기술인 컴피쿠시는 울트라쿠시에서 발전되어 실생활속의 편안함에 초점을 맞춘 기술입니다.
컴피쿠시 인솔을 통해 향상된 쿠셔닝과 가벼움을 제공하여 편안한 착용감을 느낄 수 있습니다.
고무 밑창을 사용하여 내구도와 접지력을 향상 시켰고 네오프렌 소재를 사용하여 신축성이 좋고 유연한 착용감을 제공하며,
뒷축이 접히는 구조로 뮬(Mule) 스타일로도 활용 가능한 제품입니다."
1625678966.0,10,VANS 어센틱,10.png,신발,"['캔버스', '단화']",[],['유니크'],남성,['솔리드'],['봄'],[],"['오렌지', '블랙', '블루', '화이트', '그레이', '레드']",['면'],[],70000,"어센틱은 반스 오리지널이며 지금은 아이코닉한 스타일로 자리잡은 심플한 로우탑과 레이스업 타입의 신발입니다. 내구성 강한 캔버스 업퍼, 메탈 아일렛, 반스 깃발 라벨, 그리고 반스 오리지널인 와플 아웃솔로 구성되어 있습니다. (굽 높이: 3cm)"
