Gender,Pattern,Season,,Fit,,Color,,Material,,Neckline,,Swimsuit,Blouse,Bra,Cardigan,Coat,TopBottomSet,OnePiece,Jacket,Leggings,Outer,Panty,Pants,Romper,Shirt,shorts,Skirt,TShirt,BraPantySet,Underwear,Top,Vest,Mood
남자,갤럭시,가을,,드롭핏,,노란색,,PVC,,라운드넥,,솔리드모노키니,블라우스,브라,가디건,트랜치코트,상하의세트,맥시 원피스,2 버튼,레깅스,MA-1,팬티,데님 팬츠,롬퍼,레이어드티,반팬츠,롱스커트,긴팔카라셔츠,브라팬티세트,속옷/잠옷,맨투맨,패딩베스트,빈티지
여자,헤라시,겨울,,루즈핏,,하얀색,,가죽,,롤넥,,셔링모노키니,,,,더플코트,,랩 원피스,3 버튼,,다운자켓,,수트팬츠,,티셔츠,숏 팬츠,미니 스커트,긴팔티셔츠,,,스웻셔츠,다운베스트,여리여리
남성,꽈배기,봄,,베이직핏,,빨간색,,골지,,U넥,,원피스수영복,,,,피코트,,민소매 원피스,더블 브레스트,,라이더자켓,,스웨터,,반팔 셔츠,,미티스커트,박시티,,,크루넥니트,정장용 베스트,페미닌
여성,그라데이션,사계절,,슬림 스트레이트핏,,보라색,,기모,,노카라,,하이비키니,,,,더블브레스트코트,,멜빵 원피스,캐주얼자켓,,레더 자켓,,스웻팬츠,,,,셔링스커트,반팔티,,,하프집업,,드레시
남녀,그래픽,한여름,,슬림 테이퍼드핏,,분홍색,,기모져지원단,,라운드넥,,트임모노키니,,,,싱글코트,,미니 원피스,셋업자켓,,롱기장,,스티치팬츠,,,,,카라티,,,후드집업,,고급스러
,다이아몬드,초겨울,,슬림핏,,피치색,,나일론,,만다린,,스모크비키니,,,,트렌치코트,,원피스,싱글자켓,,미드기장,,슬랙스,,,,,반팔카라셔츠,,,아노락,,프레피
,글랜,늦가을,,오버핏,,오렌지,,네오프렌,,보트,,모노키니,,,,트렌치 코트,,미디 원피스,셔츠자켓,,밀리터리,,오버롤,,,,,긴팔카라셔츠,,,크롭,,소녀스러
,기하학,여름,,와이드핏,,녹갈색,,니트,,브이넥,,래쉬가드,,,,트랜치 코트,,롱 원피스,집업자켓,,반팔 자켓,,와이드팬츠,,,,,슬리브리스,,,후디,,하늘하늘
,깅엄,간절기,,일자핏,,오프 화이트,,데님,,세일러,,,,,,더플 코트,,맥시원피스,블레이져,,블루종,,카고팬츠,,,,,숏슬리브,,,,,여성스러
,도트,,,테이퍼드핏,,네이비 블루,,레더,,셔츠칼라,,,,,,싱글 코트,,랩원피스,,,사파리 자켓,,코튼팬츠,,,,,롱슬리브,,,,,걸리시
,레오파드,,,레귤러핏,,머스타드,,레이스,,숄칼라,,,,,,,,민소매원피스,,,숏기장,,조거팬츠,,,,,,,,,,나긋
,레터링,,,에이핏,,머쉬룸 브라운,,레이온,,스퀘어넥,,,,,,,,멜빵원피스,,,롱 코트,,트레이닝팬츠,,,,,,,,,,네추럴
,리프,,,벌룬핏,,다색 무늬,,보카시,,집업,,,,,,,,미니원피스,,,패딩,,플레어 팬츠,,,,,,,,,,센슈얼
,마블,,,넉넉한핏,,베이지,,비스코스혼용,,초커넥,,,,,,,,미디원피스,,,야상,,데님팬츠,,,,,,,,,,클래식
,멀티,,,셔링핏,,차콜,,린넨,,카울넥,,,,,,,,롱원피스,,,스테디움자켓,,,,,,,,,,,,유니크
,무지,,,볼륨핏,,커피 브라운,,램스울,,키홀넥,,,,,,,,,,,아노락,,,,,,,,,,,,미니미니
,블록,,,절개핏,,블랙,,립스톤,,타이,,,,,,,,,,,점퍼,,,,,,,,,,,,소녀소녀
,스네이크,,,배기핏,,그린,,마,,터틀넥,,,,,,,,,,,코치자켓,,,,,,,,,,,,캐쥬얼
,스프레이,,,미니멀한핏,,회색,,머서라이즈,,테일러드,,,,,,,,,,,트러커자켓,,,,,,,,,,,,캐주얼
,스트라이프,,,박시핏,,크림색,,메시,,피터팬카라,,,,,,,,,,,트레이닝자켓,,,,,,,,,,,,트렌디
,아가일,,,네트핏,,진홍색,,면,,헨리넥,,,,,,,,,,,항공점퍼,,,,,,,,,,,,
,엠보,,,드롭,,골드색,,모직,,홀터넥,,,,,,,,,,,패딩,,,,,,,,,,,,
,에스닉,,,루즈,,멜란지 그레이,,모달,,리본,,,,,,,,,,,헌팅자켓,,,,,,,,,,,,
,윈도우페인,,,베이직,,카키색,,모피,,마린,,,,,,,,,,,,,,,,,,,,,,,
,지브라,,,슬림 스트레이트,,라벤더색,,벨벳,,V넥,,,,,,,,,,,,,,,,,,,,,,,
,체크,,,슬림 테이퍼드,,마젠타색,,분또,,크루넥,,,,,,,,,,,,,,,,,,,,,,,
,카모플라쥬,,,슬림,,라임그린색,,보아,,,,,,,,,,,,,,,,,,,,,,,,,
,크로셰,,,오버핏,,고동색,,비닐,,,,,,,,,,,,,,,,,,,,,,,,,
,타이다이,,,와이드,,연보라색,,쉬폰,,,,,,,,,,,,,,,,,,,,,,,,,
,페이즐리,,,일자,,그레이지,,스웨이드,,,,,,,,,,,,,,,,,,,,,,,,,
,파이톤,,,테이퍼드,,샌드베이지,,스판,,,,,,,,,,,,,,,,,,,,,,,,,
,플라워,,,레귤러,,코듀로이 올리브,,스판덱스,,,,,,,,,,,,,,,,,,,,,,,,,
,하운드투스,,,에이핏,,라이트그린,,스팽글,,,,,,,,,,,,,,,,,,,,,,,,,
,하트,,,벌룬핏,,버건디,,시스루,,,,,,,,,,,,,,,,,,,,,,,,,
,해골,,,넉넉한,,그린베이지,,시보리,,,,,,,,,,,,,,,,,,,,,,,,,
,지브라,,,셔링,,스카이블루,,시퀸,,,,,,,,,,,,,,,,,,,,,,,,,
,나무,,,볼륨,,라이트베이지,,실크,,,,,,,,,,,,,,,,,,,,,,,,,
,체크,,,절개,,다크차콜,,아이스,,,,,,,,,,,,,,,,,,,,,,,,,
,헤링본,,,배기,,다크그레이,,아크릴,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,미니멀,,카멜,,알파카,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,박시,,블루,,앙고라,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,네트핏,,청록,,아세테이드,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,널널,,스카이,,양면플리스,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,아이보리,,양털,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,레드브라운,,슬라브,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,코랄,,에리,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,진네이비,,오리털,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,연네이비,,울,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,소라,,웰론,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,바이올렛,,인조가죽,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,연베이지,,인조양털,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,진베이지,,인조토끼털,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,형광옐로우,,자카드,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,형광핑크,,저지,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,딥민트,,쭈리,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,라이트민트,,청,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,와인,,캐시미어,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,네온,,캔버스,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,형광그린,,코듀로이,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,형광주황,,코르덴,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,연두,,캐시비스코스,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,자주,,코마사,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,네온오렌지,,코튼,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,네온그린,,쿨아이스,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,진녹청,,텐셀,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,연녹청,,트위드,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,인디고 블루,,트윌,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,다크블루,,퍼,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,딥블루,,페이크레더,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,사파이어 블루,,폴리,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,아이스청,,폴리에스테르,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,오렌지브라운,,폴리우레탄,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,머드,,플리츠,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,진베이지,,플러시,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,코코아,,플리스,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,빨강,,헤비 싱글이중직,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,노랑,,헤비 웨이트 USA코튼 기모,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,주황,,헤비 웨이트 스웻원단,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,초록,,헤비웨이트,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,파란,,헤비웨이트 양면 플리스 원단,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,파랑,,헤비웨이트 져지,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,보라,,혼합소재,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,빨간,,화섬,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,노란,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,화이트,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,흰색,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,네이비,,,,,,,,,,,,,,,,,,,,,,,,,,,
